9,19
12-(2),24
16-(2),29
18,31
21,35
23-(2),38
24,39
N/A,41
26,43
29,47
102,50
32,51
N/A,52
36,56
38-(2),57
39,58
41,60
42-2,61
43,62
45-2,64
47,66
48-(2),67
49-(2),68
50,69
51,70
52,71
53,72
54,73
55,74
56,75
57,76
58,77
59,78
60,79
61,80
62,81
63,82
64-(3),83
65,84
66,85
67,86
68,87
69,N/A
70,88
N/A,89
71,90
72,91
73,92
74,93
75,94
N/A,95
76,96
77,97
78,N/A
79,99
80,100
81-(2),101
82,102
83,103
84,104
85,105
86,106
106,107
88,108
89,109
90,110
91,111
92,112
93,114
94,115
95,116
96,117
97,118
98,119
99,N/A
N/A,120
100-2,121
101,123
104,124
103,125
105-3,126
107,127
108,128
109,129
110,130
111,131
112,N/A
113,132
114,133
115,134
116,135
117,136
118,137
119,138
120,139
121,140
122,N/A
123,141
124,142
125,143
126,144
127,145
128,146
129,147
130,148
131,149
N/A,150
132,151
133,152
134,153
135,154
136,155
137,156
138,157
139,N/A
140-2,158
141,159
142,N/A
143,N/A
153,160
147,161
148,162
149,163
150,164
151,165
,166
,167
144,168
145,N/A
146,N/A
no card,169
152,170
,172
no card,173
154,174
155,175
156,176
,177
,178
,
,
N/A,N/A
,
No Card,41
No Card,95
No Card,52
No Card,120
No Card,171
